"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
"CM32040-11","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7870L","QC"
"CM32040-12","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7878L","QC"
"CM32040-13","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7881L","QC"
"CM32040-14","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7882L","QC"
"CM32040-15","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7883L","QC"
"CM32040-16","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7884L","QC"
"CM32040-17","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7885L","QC"
"CM32040-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5346R","QC"
"CM32040-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7959A","QC"
"CM32040-5","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP3095N","QC"
"CM32040-6","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP5391A","QC"
"CM32040-7","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7865L","QC"
"CM32040-8","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7866L","QC"
"CM32040-9","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7867L","QC"
"DD3-01","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RE0517N","QC"
"DD3-02","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RN8393K","QC"
"DD3-03","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8392K","QC"
"DD3-04","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8394K","QC"
"DD3-06","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8395K","QC"
"DD3-07","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8396K","QC"
"FD485-01","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN1531Z","QC"
"FD532-1","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN6117F","QC"
"FD532-10","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN0821V","QC"
"FD532--11","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN0818V","QC"
"FD532-11","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN0818V","QC"
"FD532-12","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP5404A","QC"
"FD532-13","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP5403A","QC"
"FD532-14","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP5402A","QC"
"FD532-15","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP7112F","QC"
"FD532-16","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP7113F","QC"
"FD532-17","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP7114F","QC"
"FD532-18","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8301K","QC"
"FD532-19","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8302K","QC"
"FD532-2","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4331V","QC"
"FD532-20","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8303K","QC"
"FD532-21","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8304K","QC"
"FD532-22","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8305K","QC"
"FD532-23","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8306K","QC"
"FD532-24","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP6018Z","QC"
"FD532-25","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP6082N","QC"
"FD532-26","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP1679C","QC"
"FD532-27","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT1182V","QC"
"FD532-28","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP1682C","QC"
"FD532-29","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP1684C","QC"
